бренд,название,крепость,вкусы
Туман,Утренняя мята,лёгкая,мята
Туман,Ягодный рассвет,средняя,ягоды
Туман,Цитрусовый лёд,лёгкая,цитрус;холодок
Туман,Фруктовый сад,средняя,фрукты
Туман,Десертный вечер,крепкая,десерт
Туман,Пряный дым,крепкая,специи
Туман,Лимонный чай,лёгкая,напитки;цитрус
Туман,Классика ночи,средняя,классика
Туман,Холодная ягода,лёгкая,ягоды;холодок
Туман,Мятный десерт,средняя,мята;десерт
Туман,Пряные фрукты,крепкая,фрукты;специи
Туман,Садовый напиток,лёгкая,напитки;фрукты
Поляна,Полевая мята,лёгкая,мята
Поляна,Лесная ягода,средняя,ягоды
Поляна,Солнечный цитрус,лёгкая,цитрус
Поляна,Спелый фрукт,средняя,фрукты
Поляна,Медовый десерт,крепкая,десерт
Поляна,Восточные специи,крепкая,специи
Поляна,Травяной чай,лёгкая,напитки
Поляна,Старый сад,средняя,классика
Поляна,Северный холодок,лёгкая,холодок
Поляна,Ягодный десерт,средняя,ягоды;десерт
Поляна,Мята и лёд,лёгкая,мята;холодок
Поляна,Крепкий классик,крепкая,классика;специи
